Name,ID,Available,NetPrice,WorkingORder,Text,Name
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Sans Jambon Cru
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Sans Lardons
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Sans Mozzarella
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Sans Pomme de Terres
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Sans Reblochon
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Saumon - 31 cm
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",tomates fraîches - 31cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",Anchois - 26 cm
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",Artichaut - 26 cm
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",bœuf épicé - 26cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",câpres - 26cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",champignons frais - 26cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",chorizo - 26cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",crème fraîche - 26cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",double mozzarella - 26cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",fromage de chèvre - 26cm_201709
COMTOISE - 26cm_201709,3,1,10.80,3,"Pommes de terre, cancoillotte, jambon",jambon - 26cm_201709
