,no_partner,1partner,2_3partners,group, 1st time,2nd time,more than 2,tlevel_1,tlevel_2,tlevel_3,tlevel_4
BUFFALO - 26cm Noix - 26 cm  ID15,0.0764398290142596,0.13755978997005344,0.14429441389773554,0.02757268542607747,0.33599272209151876,0.03666418325820021,0.012989235454697106,0.04380785368812407,0.04724198464134533,0.08415814959990874,0.2103838720107288
BUFFALO - 26cm Oeuf - 26 cm  ID15,0.0764398290142596,0.13755978997005344,0.14429441389773554,0.02757268542607747,0.33599272209151876,0.03666418325820021,0.012989235454697106,0.04380785368812407,0.04724198464134533,0.08415814959990874,0.2103838720107288
BUFFALO - 26cm  - œuf  ID15,0.0764398290142596,0.13755978997005344,0.14429441389773554,0.02757268542607747,0.33599272209151876,0.03666418325820021,0.012989235454697106,0.04380785368812407,0.04724198464134533,0.08415814959990874,0.2103838720107288
BUFFALO - 26cm  - oignons  ID15,0.07478208233405294,0.13421834694343887,0.14013097306302305,0.026807291854960304,0.32702844575699974,0.03595973006592573,0.012734649282736528,0.04265218651553575,0.04597098906800603,0.08191189809743292,0.20513489889327638
BUFFALO - 26cm Olives 26  ID15,0.08102174440519336,0.1462706008317225,0.1535549046537043,0.02901550207765494,0.3565611005380889,0.039139404779735654,0.013926656074750743,0.04684311972223487,0.04999458605958011,0.08951429414928502,0.22321883619224125
BUFFALO - 26cm  - pepperoni  ID15,0.0764398290142596,0.13755978997005344,0.14429441389773554,0.02757268542607747,0.33599272209151876,0.03666418325820021,0.012989235454697106,0.04380785368812407,0.04724198464134533,0.08415814959990874,0.2103838720107288
BUFFALO - 26cm  - poivrons  ID15,0.07369327345579342,0.13276701922229311,0.13891294204528934,0.02655004431152195,0.3236908885309963,0.035486523065338935,0.012532717948153575,0.04222797190914068,0.04546192256284547,0.08116035272523733,0.20280734073459297
BUFFALO - 26cm  - pommes de terre  ID15,0.08121103541468586,0.14487629784429348,0.1513017259317081,0.02892387885172466,0.3537641478059986,0.038365169435724884,0.013950650309226941,0.04600535279700451,0.049986500602182654,0.08795218825375913,0.22207842082492926
BUFFALO - 26cm  - poulet  ID15,0.07360735009116547,0.13265997282002265,0.13880781420199576,0.02652910439314188,0.3233848430764443,0.035469509419631104,0.01253710074129315,0.04219803750581555,0.04539708923884202,0.08112731703604195,0.20261652765472277
BUFFALO - 26cm Reblochon - 26 cm  ID15,0.07416678848064433,0.13354677244141994,0.14000311747641422,0.026740184351031652,0.32587356701466264,0.0357529819730183,0.012616094579514393,0.042581279360825196,0.04579311798204144,0.08173897116475866,0.20407638124441077
BUFFALO - 26cm Roquefort - 26 cm  ID15,0.07416678848064433,0.13354677244141994,0.14000311747641422,0.026740184351031652,0.32587356701466264,0.0357529819730183,0.012616094579514393,0.042581279360825196,0.04579311798204144,0.08173897116475866,0.20407638124441077
BUFFALO - 26cm Sans Boeuf  ID15,0.09062674383133165,0.15965283789498985,0.16684438507476254,0.03151708158441702,0.39073074093429716,0.04159929915703625,0.016054996627315445,0.0505900702694354,0.05595291568935028,0.09619460410359704,0.24558532013647846
BUFFALO - 26cm Sans Ketchup  ID15,0.09126217376729953,0.1614641040243371,0.16953694039694564,0.032095791624755295,0.3960092696013078,0.042068315969567165,0.016022895802235537,0.05130703828278354,0.056469735112105734,0.09772997365878598,0.24853098717320662
