D.OrderHeaderID,D.PersonID,user_visit,H.NbDiners,nb_visits,avg_ticketU,pch_freq,visit_duration,TemperatureC,Humidity,Wind_Direction,Conditions,DoW,DoM,WoY,MoY,QoY,schedule,H,HMS
1282,10753,0,2,1,16.5,0.0,24.5223833322525,15,72,SSE,Clear,7,15,42,10,4,no_event,11,11:30:00
1282,10754,0,2,1,17.5,0.0,22.7266666650772,15,72,SSE,Clear,7,15,42,10,4,no_event,11,11:30:00
1282,10757,0,2,1,4.5,0.0,79.002166668574,15,72,SSE,Clear,7,15,42,10,4,no_event,11,11:30:00
1283,10758,0,2,1,22.5,0.0,36.9787333329519,17,54,SSE,Clear,7,15,42,10,4,no_event,12,12:00:00
1283,10759,0,2,1,21.2,0.0,36.4486666639646,17,54,SSE,Clear,7,15,42,10,4,no_event,12,12:00:00
1284,10764,0,2,1,19.5,0.0,107.026049999396,21,46,SW,Clear,7,15,42,10,4,no_event,17,17:30:00
1285,10765,0,4,1,21.8,0.0,12.254383333524101,21,39,West,Clear,7,15,42,10,4,no_event,18,18:00:00
1285,10766,0,4,1,21.8,0.0,11.081266665458699,21,39,West,Clear,7,15,42,10,4,no_event,18,18:00:00
1285,10768,0,4,1,13.0,0.0,11.208716666698502,21,39,West,Clear,7,15,42,10,4,no_event,18,18:00:00
1286,10769,0,2,1,19.0,0.0,28.2059333324432,21,39,West,Clear,7,15,42,10,4,no_event,18,18:00:00
1286,10770,0,2,1,23.3,0.0,62.528333334128114,21,39,West,Clear,7,15,42,10,4,no_event,18,18:00:00
1287,10772,0,2,1,22.0,0.0,98.60144999821979,20,52,West,Clear,7,15,42,10,4,no_event,18,18:30:00
1288,10780,0,2,1,24.0,0.0,60.0661666631699,15,60,NE,Clear,7,15,42,10,4,no_event,20,20:00:00
1288,10781,0,2,1,17.0,0.0,61.53106666406,15,60,NE,Clear,7,15,42,10,4,no_event,20,20:00:00
1289,10783,0,2,1,22.0,0.0,106.633333333333,20,56,SSW,Clear,1,16,42,10,4,no_event,17,17:30:00
1291,10784,0,2,1,12.5,0.0,101.514499998093,19,56,South,Clear,1,16,42,10,4,no_event,19,19:00:00
1291,10785,0,2,1,12.5,0.0,101.808550000191,19,56,South,Clear,1,16,42,10,4,no_event,19,19:00:00
1290,10787,0,4,1,21.5,0.0,8.52538333336512,19,56,South,Clear,1,16,42,10,4,no_event,19,19:00:00
1290,10788,0,4,1,22.5,0.0,8.025549999872839,19,56,South,Clear,1,16,42,10,4,no_event,19,19:00:00
1290,10789,0,4,1,36.0,0.0,9.3274333357811,19,56,South,Clear,1,16,42,10,4,no_event,19,19:00:00
1293,10793,0,2,1,19.0,0.0,8.65316666762034,15,87,ENE,Clear,2,17,42,10,4,no_event,11,11:00:00
1292,10794,0,2,1,13.0,0.0,50.3254999995232,15,87,ENE,Clear,2,17,42,10,4,no_event,11,11:00:00
1292,10795,0,2,1,13.0,0.0,49.9508833368619,15,87,ENE,Clear,2,17,42,10,4,no_event,11,11:00:00
1295,10801,0,2,1,18.0,0.0,53.7744333306948,18,67,North,Clear,2,17,42,10,4,no_event,19,19:00:00
1295,10802,0,2,1,25.8,0.0,64.9648833354314,18,67,North,Clear,2,17,42,10,4,no_event,19,19:00:00
1295,10803,0,2,1,11.5,0.0,65.09500000079471,18,67,North,Clear,2,17,42,10,4,no_event,19,19:00:00
1296,10805,0,3,1,22.0,0.0,1.77361666361491,16,70,NW,Clear,2,17,42,10,4,no_event,20,20:00:00
1296,10806,0,3,1,20.0,0.0,2.48806666533152,16,70,NW,Clear,2,17,42,10,4,no_event,20,20:00:00
1297,10807,0,2,1,18.7,0.0,38.336333334446,14,88,Calm,Clear,3,18,42,10,4,no_event,10,10:30:00
