,mean_visit_duration,median_visit_duration,std_visit_duration
COMTOISE - 26cm Sans Crème Fraîche  ID3,57.312540908530984,55.73096339960534,34.18377245966969
COMTOISE - 26cm Sans Jambon  ID3,56.92863130015699,55.41950546024514,33.4217045980307
COMTOISE - 26cm Sans Pomme de Terres  ID3,56.92863130015699,55.73096339960534,33.4217045980307
COMTOISE - 26cm Sans Saucisse Fumée  ID3,56.92863130015699,55.41950546024514,33.4217045980307
COMTOISE - 26cm Saumon - 26 cm  ID3,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 26cm  - tomates fraîches  ID3,57.442198100098864,56.33596803219594,34.1419567561022
COMTOISE - 31cm Ananas - 31 cm  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm Anchois - 31 cm  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm Banane - 31 cm  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm  - bœuf épicé  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm  - câpres  ID4,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 31cm  - champignons frais  ID4,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 31cm  - chorizo  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm  - crème fraîche  ID4,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 31cm  - double mozzarella  ID4,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 31cm  - fromage de chèvre  ID4,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 31cm  - jambon  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm  - lardons fumés  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm  - merguez  ID4,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 31cm Miel - 31 cm  ID4,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 31cm  - œuf  ID4,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 31cm  - oignons  ID4,56.181032036580135,55.23988312325727,33.218796639761294
COMTOISE - 31cm  - pepperoni  ID4,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 31cm  - poivrons  ID4,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 31cm  - pommes de terre  ID4,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 31cm  - poulet  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm Reblochon - 31 cm  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm Roquefort - 31 cm  ID4,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 31cm Sans Cancoillotte  ID4,56.92863130015699,55.41950546024514,33.4217045980307
COMTOISE - 31cm Sans Crème Fraîche  ID4,57.312540908530984,55.73096339960534,34.18377245966969
COMTOISE - 31cm Sans Jambon  ID4,56.92863130015699,55.41950546024514,33.4217045980307
COMTOISE - 31cm Sans Pomme de Terres  ID4,56.92863130015699,55.73096339960534,33.4217045980307
COMTOISE - 31cm Sans Saucisse Fumée  ID4,56.92863130015699,55.41950546024514,33.4217045980307
COMTOISE - 31cm Saumon - 31 cm  ID4,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 31cm  - tomates fraîches  ID4,57.442198100098864,56.33596803219594,34.1419567561022
FLAMMENKUCHE - 26cm Anchois - 26 cm  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm Artichaut - 26 cm  ID5,55.45549863999638,55.24769889085029,34.50505288972312
FLAMMENKUCHE - 26cm  - bœuf épicé  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm  - câpres  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm  - champignons frais  ID5,55.45549863999638,55.24769889085029,35.500929897140985
FLAMMENKUCHE - 26cm  - chorizo  ID5,55.45549863999638,55.24769889085029,34.50505288972312
