ID,ProductID,Name,ProductGroupID,Name,GrossPrice,NetPrice,GuidedActivityID,WorkingOrder
28,28,VEGETARIENNE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,14.30,11,3
28,28,VEGETARIENNE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,14.30,11,3
29,29,HELENE - 26cm_201709,8,Légumes base sauce tomate_201709,0.00000,9.90,11,3
29,29,HELENE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,9.90,11,3
29,29,HELENE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,9.90,11,3
30,30,HELENE - 31cm_201709,8,Légumes base sauce tomate_201709,0.00000,14.90,11,3
30,30,HELENE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,14.90,11,3
30,30,HELENE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,14.90,11,3
31,31,ATLANTIC - 26cm_201709,9,Mer base sauce tomate_201709,0.00000,11.80,11,3
31,31,ATLANTIC - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,11.80,11,3
31,31,ATLANTIC - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,11.80,11,3
32,32,ATLANTIC - 31cm_201709,9,Mer base sauce tomate_201709,0.00000,17.70,11,3
32,32,ATLANTIC - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,17.70,11,3
32,32,ATLANTIC - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,17.70,11,3
33,33,PROVENCALE - 26cm_201709,9,Mer base sauce tomate_201709,0.00000,9.30,11,3
33,33,PROVENCALE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,9.30,11,3
33,33,PROVENCALE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,9.30,11,3
34,34,PROVENCALE - 31cm_201709,9,Mer base sauce tomate_201709,0.00000,14.00,11,3
34,34,PROVENCALE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,14.00,11,3
34,34,PROVENCALE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,14.00,11,3
35,35,THALASSA - 26cm_201709,9,Mer base sauce tomate_201709,0.00000,11.80,11,3
35,35,THALASSA - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,11.80,11,3
35,35,THALASSA - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,11.80,11,3
36,36,THALASSA - 31cm_201709,9,Mer base sauce tomate_201709,0.00000,17.70,11,3
36,36,THALASSA - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,17.70,11,3
36,36,THALASSA - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,17.70,11,3
37,37,INCROYABLE - 26cm_201709,10,Stars base sauce tomate_201709,0.00000,11.80,11,3
37,37,INCROYABLE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,11.80,11,3
37,37,INCROYABLE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,11.80,11,3
38,38,INCROYABLE  31cm_201709,10,Stars base sauce tomate_201709,0.00000,17.70,11,3
38,38,INCROYABLE  31cm_201709,1002,Entrées Pizzas Double Double,0.00000,17.70,11,3
38,38,INCROYABLE  31cm_201709,1003,Plat Pizzas Double Double,0.00000,17.70,11,3
39,39,BOURGUIGNONNE - 26cm_201709,10,Stars base sauce tomate_201709,0.00000,11.50,11,3
39,39,BOURGUIGNONNE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,11.50,11,3
39,39,BOURGUIGNONNE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,11.50,11,3
40,40,BOURGUIGNONNE - 31cm_201709,10,Stars base sauce tomate_201709,0.00000,17.30,11,3
40,40,BOURGUIGNONNE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,17.30,11,3
40,40,BOURGUIGNONNE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,17.30,11,3
41,41,HAWAI - 26cm_201709,10,Stars base sauce tomate_201709,0.00000,9.10,11,3
41,41,HAWAI - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,9.10,11,3
41,41,HAWAI - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,9.10,11,3
42,42,HAWAI  31cm_201709,10,Stars base sauce tomate_201709,0.00000,13.70,11,3
42,42,HAWAI  31cm_201709,1002,Entrées Pizzas Double Double,0.00000,13.70,11,3
42,42,HAWAI  31cm_201709,1003,Plat Pizzas Double Double,0.00000,13.70,11,3
43,43,AVEYRONNAISE - 26cm_201709,10,Stars base sauce tomate_201709,0.00000,9.50,11,3
43,43,AVEYRONNAISE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,9.50,11,3
43,43,AVEYRONNAISE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,9.50,11,3
44,44,AVEYRONNAISE  31cm_201709,10,Stars base sauce tomate_201709,0.00000,14.30,11,3
44,44,AVEYRONNAISE  31cm_201709,1002,Entrées Pizzas Double Double,0.00000,14.30,11,3
44,44,AVEYRONNAISE  31cm_201709,1003,Plat Pizzas Double Double,0.00000,14.30,11,3
45,45,PLANCHA 2 PERSONNES _201709,3,A partager_201709,0.00000,5.00,9,2
45,45,PLANCHA 2 PERSONNES _201709,49,GA A partager2_201709,0.00000,5.00,9,2
46,46,PLANCHA 4 PERSONNES _201709,3,A partager_201709,0.00000,9.00,9,2
46,46,PLANCHA 4 PERSONNES _201709,49,GA A partager2_201709,0.00000,9.00,9,2
47,47,PIZZA AUX TRUFFES_201709,3,A partager_201709,0.00000,10.00,9,2
47,47,PIZZA AUX TRUFFES_201709,49,GA A partager2_201709,0.00000,10.00,9,2
48,48,FLAMMENKUCHE_201709,3,A partager_201709,0.00000,6.00,NULL,2
48,48,FLAMMENKUCHE_201709,49,GA A partager2_201709,0.00000,6.00,NULL,2
49,49,BRUSCHETTA LEGUMES_201709,3,A partager_201709,0.00000,6.00,9,2
49,49,BRUSCHETTA LEGUMES_201709,49,GA A partager2_201709,0.00000,6.00,9,2
50,50,SALADE VERTE_201709,12,Entrées_201709,0.00000,3.20,NULL,2
50,50,SALADE VERTE_201709,33,GA Entrée Menu Liberty_201709,0.00000,3.20,NULL,2
51,51,ENTREE SALADE CHEVRE _201709,12,Entrées_201709,0.00000,5.40,NULL,2
51,51,ENTREE SALADE CHEVRE _201709,31,GA Plat Menu Midi_201709,0.00000,5.40,NULL,2
52,52,ENTREE DE GESIER,12,Entrées_201709,0.00000,5.70,NULL,2
53,53,GRDE CHEVRE _201709,13,Salades repas_201709,0.00000,10.50,11,3
54,54,GDE POULET_201709,13,Salades repas_201709,0.00000,11.50,11,3
54,54,GDE POULET_201709,31,GA Plat Menu Midi_201709,0.00000,11.50,11,3
55,55,GDE GESIERS _201709,13,Salades repas_201709,0.00000,11.90,11,3
56,56,GDE FRANC-COMTOISE_201709,13,Salades repas_201709,0.00000,13.80,11,3
57,57,PLAT DU JOUR_201709,14,Plats_201709,0.00000,11.00,11,3
57,57,PLAT DU JOUR_201709,31,GA Plat Menu Midi_201709,0.00000,11.00,11,3
58,58,PASTA_201709,14,Plats_201709,0.00000,11.00,11,3
58,58,PASTA_201709,31,GA Plat Menu Midi_201709,0.00000,11.00,11,3
59,59,TAGLIATELLE CARBONARA_201709,14,Plats_201709,0.00000,11.00,11,3
59,59,TAGLIATELLE CARBONARA_201709,31,GA Plat Menu Midi_201709,0.00000,11.00,11,3
60,60,TAGLIATELLE SAUMON_201709,14,Plats_201709,0.00000,11.00,11,3
60,60,TAGLIATELLE SAUMON_201709,1005,Pasta Express,0.00000,11.00,11,3
61,61,SPAGHETTI BOLOGNAISE_201709,14,Plats_201709,0.00000,11.00,11,3
61,61,SPAGHETTI BOLOGNAISE_201709,31,GA Plat Menu Midi_201709,0.00000,11.00,11,3
61,61,SPAGHETTI BOLOGNAISE_201709,42,GA Plat Menu Kids_201709,0.00000,11.00,11,3
61,61,SPAGHETTI BOLOGNAISE_201709,1005,Pasta Express,0.00000,11.00,11,3
62,62,LASAGNE BOLOGNAISE_201709,14,Plats_201709,0.00000,12.00,11,3
62,62,LASAGNE BOLOGNAISE_201709,1005,Pasta Express,0.00000,12.00,11,3
